time,current,V0,T0,V1,T1,V2,T2,V3,T3,V4,T4,V5,T5,V6,T6,V7,T7,V8,T8,V9,T9,pack_mean,V0_dev,V1_dev,V2_dev,V3_dev,V4_dev,V5_dev,V6_dev,V7_dev,V8_dev,V9_dev,T0_roc,T1_roc,T2_roc,T3_roc,T4_roc,T5_roc,T6_roc,T7_roc,T8_roc,T9_roc,anomaly
0,21.854305348131312,3.6777623976390617,31.632890161902655,3.7063780436937876,26.95224800476828,3.705580825844003,29.14390787164753,3.720210305696131,28.515186325761654,3.6883824373195297,28.593312396585187,3.6894966038564374,25.72075868784752,3.6885723966849175,28.7410500781515,3.6815183432450582,31.195440933825218,3.647749019746128,35.11897606207559,3.719007393647938,30.7884660437592,3.6924657767372993,-0.014703379098237601,0.013912266956488395,0.01311504910670358,0.027744528958831616,-0.004083339417769505,-0.002969172880861848,-0.003893380052381712,-0.010947433492241032,-0.04471675699117128,0.026541616910638943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,7.090268572399898,3.676980128451554,30.41772719000951,3.7075139603669136,26.08065975224045,3.6879872262016242,27.34362790220314,3.6941661250041347,30.393722471738247,3.687965867755412,31.47693315999082,3.737045563690179,30.34273656237994,3.6997300555052415,29.768703435223518,3.678845781420882,29.397792608821423,3.716450898242064,27.042956019265144,3.67558312700058,28.560311583210584,3.696226873363859,-0.019246744912304603,0.011287087003054808,-0.008239647162234576,-0.0020607483597241405,-0.00826100560844667,0.04081869032632035,0.003503182141382677,-0.017381091942976656,0.02022402487820507,-0.020643746363278925,-1.2151629718931432,-0.8715882525278289,-1.800279969444393,1.878536145976593,2.8836207634056343,4.621977874532419,1.027653357072019,-1.7976483250037951,-8.076020042810445,-2.228154460548616,1
2,42.29318791183682,3.673066438052773,26.983693420905034,3.682388174679058,32.19929395156964,3.6773889539063687,29.64453575745869,3.7026885776525607,29.179233382627398,3.711642455894261,32.3594326894014,3.7177549691918674,28.203584121088642,3.7178866466021754,31.669590838460856,3.7150999559448947,30.593122768657942,3.695856682197909,27.924340246969034,3.687530452100301,29.84839250994363,3.6981303306222157,-0.025063892569442636,-0.015742155943157865,-0.020741376715847082,0.0045582470303449085,0.01351212527204515,0.019624638569651687,0.019756315979959638,0.016969625322678983,-0.0022736484243068844,-0.010599878521914796,-3.4340337691044773,6.118634199329193,2.300907855255552,-1.2144890891108489,0.8824995294105804,-2.139152441291298,1.9008874032373377,1.1953301598365194,0.8813842277038901,1.2880809267330449,1
3,37.09601542503478,3.7072279121101683,29.560656224324976,3.7307607313293194,30.714225143023494,3.6992834792178013,32.95578808948303,3.7312928731162804,28.963459563452705,3.647605097918205,28.383012794213624,3.7164380500875045,28.996485912830927,3.7017409413647635,31.83080423540415,3.694019852990683,30.65750221931937,3.70183521553071,28.940479592465923,3.660248621707982,31.02653486622671,3.6990452775373415,0.008182634572826863,0.03171545379197793,0.00023820168045984857,0.03224759557893897,-0.051440179619136384,0.017392772550163027,0.0026956638274220346,-0.005025424546658552,0.002789937993368685,-0.03879665582935932,2.576962803419942,-1.4850688085461492,3.3112523320243383,-0.21577381917469296,-3.976419895187778,0.7929017917422847,0.1612133969432925,0.06437945066142703,1.0161393454968888,1.1781423562830824,1
4,45.165154932049,3.727437242670996,29.208967096839412,3.7035110658790966,29.421726287060117,3.6938142290711085,30.905872653067018,3.71346251005548,29.66787818329787,3.694867396346149,30.42987766018951,3.692643485517345,25.95537013360853,3.7254746724027914,28.113886383065477,3.6941609465834877,32.80791747731859,3.646896479048731,29.96289839097672,3.7069103588777756,26.652990756019555,3.699917838645296,0.027519404025699856,0.003593227233800622,-0.006103609574187541,0.013544671410183895,-0.005050442299146862,-0.007274353127951105,0.0255568337574954,-0.005756892061808294,-0.053021359596565176,0.006992520232479649,-0.3516891274855638,-1.2924988559633768,-2.0499154364160113,0.7044186198451641,2.0468648659758877,-3.041115779222398,-3.7169178523386712,2.150415257999221,1.0224187985107953,-4.373544110207156,1
5,18.539523941754634,3.701204604198821,32.8055886218722,3.7492648422497057,27.19629787441544,3.6961527807043777,31.17371418760054,3.7060309468466723,34.380911251619956,3.6993057646058953,28.01892734973862,3.6766264392476096,28.867404540794457,3.7228564562903004,30.199302730175283,3.7150386606537356,28.9930486917676,3.715820638940861,26.898673137867736,3.6818122509041054,30.137125949612056,3.7064113384642083,-0.005206734265387425,0.04285350378549735,-0.010258557759830644,-0.00038039161753600226,-0.007105573858313008,-0.02978489921659877,0.016445117826092037,0.00862732218952722,0.009409300476652671,-0.024599087560102983,3.596621525032784,-2.2254284126446784,0.2678415345335239,4.713033068322087,-2.4109503104508896,2.912034407185928,2.085416347109806,-3.8148687855509884,-3.064225253108983,3.4841351935925005,1
6,34.032775568425244,3.7107267206476413,32.72777304883421,3.6817061813747745,35.07832543253866,3.712410964319235,29.351018084342215,3.696781252462739,29.58826656580899,3.692234712020468,27.119917104632403,3.682289752523423,32.38145451222728,3.6928650994846364,32.59879362852897,3.7111224359706796,28.265707687900893,3.7208772122183733,31.23528169102229,3.710528963226694,32.43414159396022,3.701154329424866,0.009572391222775423,-0.01944814805009143,0.011256634894369011,-0.004373076962127076,-0.00891961740439795,-0.01886457690144283,-0.008289229940229514,0.009968106545813704,0.019722882793507424,0.009374633801828125,-0.07781557303798792,7.882027558123223,-1.8226961032583269,-4.792644685810966,-0.8990102451062185,3.514049971432822,2.3994908983536902,-0.7273410038667087,4.336608553154555,2.297015644348164,1
7,8.786298424777197,3.705861449465974,31.926752258488644,3.685712971639473,30.825561853872998,3.7373154902228953,31.64412031998898,3.709476658418236,33.7935859653079,3.6761739300559473,29.50922376799426,3.713131072172677,28.49252767128502,3.680506366595454,28.220971140748954,3.7157416920748494,28.368379430069123,3.723171911580148,29.845796581171793,3.683586353632966,30.682303949633287,3.7030677895858615,0.0027936598801123758,-0.01735481794638849,0.03424770063703386,0.006408868832374459,-0.026893859529914188,0.010063282586815436,-0.022561422990407642,0.01267390248898792,0.020104121994286572,-0.01948143595289542,-0.8010207903455644,-4.252763578665665,2.2931022356467636,4.205319399498908,2.3893066633618574,-3.8889268409422577,-4.377822487780019,0.10267174216822994,-1.3894851098504972,-1.7518376443269332,1
8,45.1420949829701,3.7241876394137328,29.751735222236682,3.71075920007384,31.480681635895476,3.754688443181235,29.095075535310663,3.701875308603039,31.554099589807215,3.6718718946563693,32.091142336692634,3.699309406878104,29.31571657478924,3.6807396874786775,28.147906761577044,3.719543600016262,28.974069364728756,3.7008396012894007,31.420218480727907,3.697254563658044,30.184957743102196,3.7061069345248705,0.018080704888862265,0.004652265548969581,0.04858150865636457,-0.004231625921831572,-0.03423503986850118,-0.006797527646766444,-0.025367247046192976,0.01343666549139133,-0.0052673332354697955,-0.008852370866826664,-2.175017036251962,0.6551197820224779,-2.5490447846783155,-2.2394863755006824,2.5819185686983737,0.8231889035042173,-0.07306437917191033,0.6056899346596332,1.5744218995561141,-0.4973462065310912,1
9,36.32134085037379,3.6823228512759774,31.03007053441732,3.703074502118911,31.027571901824416,3.70116417436892,31.030095372612095,3.677140594043388,37.705462981309445,3.707155747206966,31.141781021386333,3.7112156905273648,32.271131280361196,3.7216610248635056,31.908003526986406,3.7210760410406984,31.302782502611596,3.6724466126408584,29.369461510719308,3.6812434992016976,31.517938440986534,3.6978500737288287,-0.01552722245285132,0.005224428390082192,0.003314100640091411,-0.02070947968544079,0.009305673478137155,0.013365616798536095,0.023810951134676905,0.023225967311869766,-0.025403461087970314,-0.0166065745271311,1.2783353121806371,-0.4531097340710595,1.9350198373014322,6.15136339150223,-0.9493613153063016,2.9554147055719575,3.7600967654093616,2.32871313788284,-2.0507569700085995,1.332980697884338,1
